"created_at","vegan","vegano","vegana","vegetariano","vegetariana","vegane","lactovegetariana","ovolactovegetariana","lactovegetariano","ovolactovegetariano","crudivora","crudivoro","pescetariana","frugivoro","veganx","pescetariano","flexitariano","frugivora","flexitariana","ovovegetariano","semivegetariana","ovovegetariana","semivegetariano","piscitariana","piscitariano","pesco-vegetariana","pescovegetariana","pescovegetariano","pesco-vegetariano","apivegetariano","apivegetariana"
"2012-01-01","2467","473","553","5613","3972","7","16","16","12","8","6","2","1","3","0","0","2","1","0","0","3","0","0","0","0","0","0","1","0","0","0"
"2012-02-01","2264","606","458","4640","3308","2","8","5","9","8","7","3","1","10","0","0","2","3","0","0","5","0","0","0","0","0","0","0","0","0","0"
"2012-03-01","2635","675","486","4955","3267","5","11","8","19","17","3","0","3","1","0","0","1","0","0","1","3","0","1","0","0","0","0","0","0","0","0"
"2012-04-01","2385","432","491","5416","3484","5","9","8","13","8","2","1","3","10","0","1","0","1","0","0","0","0","2","1","1","0","1","0","0","0","0"
"2012-05-01","2064","356","388","4408","3164","2","12","10","10","9","7","5","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012-06-01","1942","413","402","4007","3288","0","6","6","10","6","2","4","0","2","1","1","0","1","0","0","3","1","3","0","0","0","0","0","0","0","0"
"2012-07-01","2607","555","555","4772","4044","5","18","16","26","24","0","2","0","2","0","1","10","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"2012-08-01","2496","533","609","4916","3605","0","8","6","9","8","3","6","2","3","0","0","3","1","0","0","2","0","3","0","0","0","1","0","0","0","0"
"2012-09-01","2346","672","483","4273","3458","2","5","3","9","9","1","1","0","3","1","2","0","3","0","0","4","0","0","0","0","0","2","0","0","0","0"
"2012-10-01","2436","733","532","4763","3248","4","8","7","10","10","4","6","2","2","0","2","0","4","0","0","3","0","2","0","0","0","0","0","0","0","0"
"2012-11-01","3934","717","594","4525","3210","3","10","8","12","9","0","3","0","3","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0"
"2012-12-01","2408","549","617","3775","3387","3","11","11","3","3","1","3","1","3","1","1","0","1","0","1","3","1","0","0","0","0","0","0","0","0","0"
"2013-01-01","2726","646","584","4493","4427","16","15","12","4","3","0","3","2","5","0","3","0","1","1","1","3","0","0","0","2","0","0","0","1","0","0"
"2013-02-01","2996","731","718","3485","3170","1","11","10","16","16","2","1","0","5","2","0","0","1","0","0","3","0","0","0","0","1","2","0","0","0","0"
"2013-03-01","3034","701","819","5137","3657","3","20","20","17","14","5","3","2","4","3","0","0","1","0","0","1","0","3","0","0","0","3","0","0","0","0"
