"created_at","vegan","vegano","vegana","vegetariano","vegetariana","vegane","lactovegetariana","ovolactovegetariana","lactovegetariano","ovolactovegetariano","crudivora","crudivoro","pescetariana","frugivoro","veganx","pescetariano","flexitariano","frugivora","flexitariana","ovovegetariano","semivegetariana","ovovegetariana","semivegetariano","piscitariana","piscitariano","pesco-vegetariana","pescovegetariana","pescovegetariano","pesco-vegetariano","apivegetariano","apivegetariana"
"2012","29984","6714","6168","56063","41435","38","122","104","142","119","36","36","14","44","3","9","18","17","0","2","29","2","11","2","1","0","4","1","0","0","0"
"2013","35769","9423","8994","54464","42952","58","141","116","130","112","33","37","17","42","12","9","6","27","6","3","15","2","11","0","3","2","5","2","1","0","0"
"2014","55278","17348","16218","52257","39694","120","118","85","79","66","94","69","16","80","27","8","0","39","2","6","6","2","5","1","0","22","0","0","0","0","0"
"2015","91523","33360","27314","51838","48331","274","110","95","151","119","137","178","45","81","27","75","8","34","5","7","13","3","1","6","2","3","1","0","0","0","0"
"2016","139532","60307","39861","62452","56649","156","203","181","243","227","200","207","59","78","30","45","15","37","11","5","9","7","6","6","0","0","4","1","1","0","0"
"2017","180491","89903","52550","73678","63730","182","204","182","223","199","173","165","70","82","57","32","88","60","23","12","10","7","20","9","3","3","5","7","3","2","0"
"2018","334789","204458","93595","69676","68871","165","439","403","383","350","202","227","60","201","163","42","29","115","60","9","6","9","7","6","7","3","5","6","3","0","0"
"2019","736570","393177","297971","129261","139749","764","1256","1166","940","874","178","265","202","320","410","109","153","110","148","35","15","33","9","24","9","12","9","3","14","0","0"
"2020","632623","353954","209796","129714","128235","1405","1552","1438","1088","1001","221","179","409","191","265","329","117","142","127","40","18","34","10","20","19","10","13","12","7","0","0"
"2021","468847","235771","187781","86762","94627","2040","1070","982","1112","1053","279","146","607","273","130","195","261","135","138","48","10","34","16","13","13","9","6","6","4","0","0"
"2022","396872","208015","159266","80583","79530","2547","796","753","434","404","440","277","261","186","65","287","259","105","133","24","12","25","12","19","9","2","3","3","4","1","0"
